"Step","ruby-20231106_104248 - train_loss","ruby-20231106_104248 - train_loss__MIN","ruby-20231106_104248 - train_loss__MAX","php-20231102_160100 - train_loss","php-20231102_160100 - train_loss__MIN","php-20231102_160100 - train_loss__MAX","java-20231101_090754 - train_loss","java-20231101_090754 - train_loss__MIN","java-20231101_090754 - train_loss__MAX","go-20231031_120958 - train_loss","go-20231031_120958 - train_loss__MIN","go-20231031_120958 - train_loss__MAX","javascript-20231029_122314 - train_loss","javascript-20231029_122314 - train_loss__MIN","javascript-20231029_122314 - train_loss__MAX","python-20231028_204326 - train_loss","python-20231028_204326 - train_loss__MIN","python-20231028_204326 - train_loss__MAX"
"1060","4.4239","4.4239","4.4239","4.5865","4.5865","4.5865","4.6209","4.6209","4.6209","2.6708","2.6708","2.6708","4.019","4.019","4.019","4.2108","4.2108","4.2108"
"1070","4.4159","4.4159","4.4159","4.576","4.576","4.576","4.6112","4.6112","4.6112","2.6703","2.6703","2.6703","4.0101","4.0101","4.0101","4.2028","4.2028","4.2028"
"1080","4.4075","4.4075","4.4075","4.5659","4.5659","4.5659","4.6016","4.6016","4.6016","2.668","2.668","2.668","4.0011","4.0011","4.0011","4.1945","4.1945","4.1945"
"1090","4.3995","4.3995","4.3995","4.5553","4.5553","4.5553","4.5928","4.5928","4.5928","2.6661","2.6661","2.6661","3.9931","3.9931","3.9931","4.186","4.186","4.186"
"1100","4.392","4.392","4.392","4.5459","4.5459","4.5459","4.584","4.584","4.584","2.662","2.662","2.662","3.9843","3.9843","3.9843","4.178","4.178","4.178"
"1110","4.3848","4.3848","4.3848","4.5349","4.5349","4.5349","4.5745","4.5745","4.5745","2.6608","2.6608","2.6608","3.9764","3.9764","3.9764","4.1688","4.1688","4.1688"
"1120","4.3769","4.3769","4.3769","4.5248","4.5248","4.5248","4.5651","4.5651","4.5651","2.6611","2.6611","2.6611","3.9684","3.9684","3.9684","4.1606","4.1606","4.1606"
"1130","4.3692","4.3692","4.3692","4.515","4.515","4.515","4.5565","4.5565","4.5565","2.6607","2.6607","2.6607","3.9602","3.9602","3.9602","4.1526","4.1526","4.1526"
"1140","4.3616","4.3616","4.3616","4.5056","4.5056","4.5056","4.548","4.548","4.548","","","","3.9519","3.9519","3.9519","4.1442","4.1442","4.1442"
"1150","4.3536","4.3536","4.3536","4.4957","4.4957","4.4957","4.5393","4.5393","4.5393","","","","3.9442","3.9442","3.9442","4.1363","4.1363","4.1363"
"1160","4.3466","4.3466","4.3466","4.486","4.486","4.486","4.5305","4.5305","4.5305","","","","3.936","3.936","3.936","4.1281","4.1281","4.1281"
"1170","4.3393","4.3393","4.3393","4.4766","4.4766","4.4766","4.5225","4.5225","4.5225","","","","3.9284","3.9284","3.9284","4.1202","4.1202","4.1202"
"1180","4.3323","4.3323","4.3323","4.4668","4.4668","4.4668","4.5138","4.5138","4.5138","","","","3.9201","3.9201","3.9201","4.1126","4.1126","4.1126"
"1190","4.3249","4.3249","4.3249","4.4573","4.4573","4.4573","4.5051","4.5051","4.5051","","","","3.913","3.913","3.913","4.1049","4.1049","4.1049"
"1200","4.3178","4.3178","4.3178","4.448","4.448","4.448","4.4965","4.4965","4.4965","","","","3.9054","3.9054","3.9054","4.097","4.097","4.097"
"1210","4.3105","4.3105","4.3105","4.439","4.439","4.439","4.4878","4.4878","4.4878","","","","3.8981","3.8981","3.8981","4.0894","4.0894","4.0894"
"1220","4.3036","4.3036","4.3036","4.4301","4.4301","4.4301","4.4797","4.4797","4.4797","","","","3.89","3.89","3.89","4.0817","4.0817","4.0817"
"1230","4.2966","4.2966","4.2966","4.421","4.421","4.421","4.4712","4.4712","4.4712","","","","3.8825","3.8825","3.8825","4.0743","4.0743","4.0743"
"1240","4.2896","4.2896","4.2896","4.4121","4.4121","4.4121","4.4631","4.4631","4.4631","","","","3.8751","3.8751","3.8751","4.0675","4.0675","4.0675"
"1250","4.2825","4.2825","4.2825","4.4036","4.4036","4.4036","4.4555","4.4555","4.4555","","","","3.8672","3.8672","3.8672","4.0606","4.0606","4.0606"
"1260","4.2755","4.2755","4.2755","4.3949","4.3949","4.3949","4.4469","4.4469","4.4469","","","","3.8599","3.8599","3.8599","4.0541","4.0541","4.0541"
"1270","4.2689","4.2689","4.2689","4.3862","4.3862","4.3862","4.4387","4.4387","4.4387","","","","3.8521","3.8521","3.8521","4.0468","4.0468","4.0468"
"1280","4.2629","4.2629","4.2629","4.3777","4.3777","4.3777","4.4307","4.4307","4.4307","","","","3.8445","3.8445","3.8445","4.0397","4.0397","4.0397"
"1290","4.2563","4.2563","4.2563","4.3697","4.3697","4.3697","4.4219","4.4219","4.4219","","","","3.8377","3.8377","3.8377","4.0328","4.0328","4.0328"
"1300","4.2496","4.2496","4.2496","4.3612","4.3612","4.3612","4.4141","4.4141","4.4141","","","","3.831","3.831","3.831","4.026","4.026","4.026"
"1310","4.243","4.243","4.243","4.3522","4.3522","4.3522","4.4064","4.4064","4.4064","","","","3.8239","3.8239","3.8239","4.0188","4.0188","4.0188"
"1320","4.236","4.236","4.236","4.3432","4.3432","4.3432","4.399","4.399","4.399","","","","3.8165","3.8165","3.8165","4.0122","4.0122","4.0122"
"1330","4.2298","4.2298","4.2298","4.3345","4.3345","4.3345","4.3918","4.3918","4.3918","","","","3.8096","3.8096","3.8096","4.0055","4.0055","4.0055"
"1340","4.2231","4.2231","4.2231","4.3263","4.3263","4.3263","4.3841","4.3841","4.3841","","","","3.8029","3.8029","3.8029","3.9991","3.9991","3.9991"
"1350","4.2166","4.2166","4.2166","4.3178","4.3178","4.3178","4.3771","4.3771","4.3771","","","","3.7961","3.7961","3.7961","3.9927","3.9927","3.9927"
